event_date,year,event_type,detail,pdf_url,keyword,source
2021-12-31,2021,重大资产重组,山西儒林资产评估事务所有限公司关于内蒙古远兴能源股份有限公司重大资产重组前发生业绩变脸或本次重组存在拟置出资产情形相关事项之专项核查意见,http://static.cninfo.com.cn/finalpage/2021-12-31/1212069018.PDF,重大资产重组,巨潮资讯网
2022-01-26,2022,重大资产重组,关于重大资产重组进展的公告,http://static.cninfo.com.cn/finalpage/2022-01-26/1212282902.PDF,重大资产重组,巨潮资讯网
2022-02-25,2022,重大资产重组,关于重大资产重组进展的公告,http://static.cninfo.com.cn/finalpage/2022-02-25/1212452539.PDF,重大资产重组,巨潮资讯网
2022-02-28,2022,重大资产重组,关于《重大资产购买及增资暨关联交易报告书（草案）》修订说明的公告,http://static.cninfo.com.cn/finalpage/2022-02-28/1212462728.PDF,重大资产购买,巨潮资讯网
2022-02-28,2022,重大资产重组,内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易报告书（草案）（修订稿）,http://static.cninfo.com.cn/finalpage/2022-02-28/1212462732.PDF,重大资产购买,巨潮资讯网
2022-02-28,2022,重大资产重组,内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易报告书（草案）摘要（修订稿）,http://static.cninfo.com.cn/finalpage/2022-02-28/1212462733.PDF,重大资产购买,巨潮资讯网
2022-02-28,2022,重大资产重组,关于重大资产重组相关财务数据有效期延期的公告,http://static.cninfo.com.cn/finalpage/2022-02-28/1212462729.PDF,重大资产重组,巨潮资讯网
2022-03-25,2022,重大资产重组,关于重大资产重组进展的公告,http://static.cninfo.com.cn/finalpage/2022-03-25/1212667404.PDF,重大资产重组,巨潮资讯网
2022-04-25,2022,重大资产重组,关于重大资产重组进展的公告,http://static.cninfo.com.cn/finalpage/2022-04-25/1213087327.PDF,重大资产重组,巨潮资讯网
2022-05-25,2022,重大资产重组,关于重大资产重组进展的公告,http://static.cninfo.com.cn/finalpage/2022-05-25/1213478757.PDF,重大资产重组,巨潮资讯网
2022-06-25,2022,重大资产重组,关于重大资产重组进展的公告,http://static.cninfo.com.cn/finalpage/2022-06-25/1213818286.PDF,重大资产重组,巨潮资讯网
2022-07-23,2022,重大资产重组,内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易报告书（草案）（二次修订稿）,http://static.cninfo.com.cn/finalpage/2022-07-23/1214123000.PDF,重大资产购买,巨潮资讯网
2022-07-23,2022,重大资产重组,关于《重大资产购买及增资暨关联交易报告书（草案）》修订说明的公告,http://static.cninfo.com.cn/finalpage/2022-07-23/1214123005.PDF,重大资产购买,巨潮资讯网
2022-07-23,2022,重大资产重组,内蒙古远兴能源股份有限公司重大资产购买及增资暨关联交易报告书（草案）摘要（二次修订稿）,http://static.cninfo.com.cn/finalpage/2022-07-23/1214123001.PDF,重大资产购买,巨潮资讯网
